study ,reference 
1,"Bobeldyk, A. M. and G. A. Lamberti (2010). Stream food web response to an omnivorous invader, Orconectes Rusticus (Decapoda, Cambaridae). Crustaceana 83(6): 641-657."
2,"Charlebois, P. M. and G. A. Lamberti (1996). Invading crayfish in a Michigan stream: Direct and indirect effects on periphyton and macroinvertebrates. Journal of the North American Benthological Society 15(4): 551-563."
3,"Crawford, L., et al. (2006). The impact of introduced signal crayfish Pacifastacus leniusculus on stream invertebrate communities. Aquatic Conservation: Marine and Freshwater Ecosystems 16(6): 611-621."
4,"Ercoli, F., et al. (2015). The introduced signal crayfish and native noble crayfish have different effects on sublittoral macroinvertebrate assemblages in boreal lakes. Freshwater Biology 60(8): 1688-1698"
5,"Flinders, C. A. and D. D. Magoulick (2007). Effects of depth and crayfish size on predation risk and foraging profitability of a lotic crayfish. Journal of the North American Benthological Society 26(4): 767-778."
6,"Klose, K. and S. D. Cooper (2013). Complex impacts of an invasive omnivore and native consumers on stream communities in California and Hawaii. Oecologia 171(4): 945-960."
7,"Kreps, T. A., et al. (2012). The impact of an invasive predator (Orconectes rusticus) on freshwater snail communities: insights on habitat-specific effects from a multilake long-term study. Canadian Journal of Fisheries and Aquatic Sciences 69(7): 1164-1173."
8,"Lagrue, C., et al. (2014). An invasive species may be better than none: invasive signal and native noble crayfish have similar community effects. Freshwater Biology 59(9): 1982-1995."
9,"Lodge, D. M., et al. (1994). Effects of an Omnivorous Crayfish (Orconectes Rusticus) on a Freshwater Littoral Food Web. Ecology 75(5): 1265-1281"
10,"Nilsson, E., et al. (2012). Effects of an invasive crayfish on trophic relationships in north-temperate lake food webs. Freshwater Biology 57(1): 10-23."
11,"Nystrom, P. and J. A. Strand (1996). Grazing by a native and an exotic crayfish on aquatic macrophytes. Freshwater Biology 36(3): 673-682."
12,"Perry, W. L., et al. (2000). Crayfish (Orconectes rusticus) Impacts on Zebra Mussel (Dreissena polymorpha) Recruitment, Other Macroinvertebrates and Algal Biomass in a Lake-outlet Stream. The American Midland Naturalist 144(2): 308-316."
13,"Rosenthal, S. K., et al. (2006). Whole-lake effects of invasive crayfish (Orconectes spp.) and the potential for restoration. Canadian Journal of Fisheries and Aquatic Sciences 63(6): 1276-1285."
14,"Ruokonen, T. J., et al. (2014). Effects of an invasive crayfish on the littoral macroinvertebrates of large boreal lakes are habitat specific. Freshwater Biology 59(1): 12-25."
15,"Stewart, T. W., et al. (1998). An experimental analysis of crayfish (Orconectes rusticus) effects on a Dreissena-dominated benthic macroinvertebrate community in western Lake Erie. Canadian Journal of Fisheries and Aquatic Sciences 55(1043–1050)."
16,"Usio, N. and C. R. Townsend (2001). The Significance of the Crayfish Paranephrops Zealandicus as Shredders in a New Zealand Headwater Stream. Journal of Crustacean Biology 21(2): 354-359."
17,"Usio, N., et al. (2009). Size-dependent impacts of invasive alien crayfish on a littoral marsh community. Biological Conservation 142(7): 1480-1490."
18,"Ketelaars, H. A. M., et al. (1999). Ecological effects of the mass occurrence of the Ponto-Caspian invader, Hemimysis anomala GO Sars, 1907 (Crustacea : Mysidacea), in a freshwater storage reservoir in the Netherlands, with notes on its autecology and new records. Hydrobiologia 394: 233-248."
19,"Koksvik, J. I., et al. (2009). Plankton development in Lake Jonsvatn, Norway, after introduction of Mysis relicta: a long-term study. Aquatic Biology 5(3): 293-304."
20,"Spencer, C. N., et al. (1991). Shrimp Stocking, Salmon Collapse, and Eagle Displacement. Bioscience 41(1): 14-21."
21,"Kangur, K., et al. (2010). Consequences of introducing the invasive amphipod Gmelinoides fasciatus into large shallow Lake Peipsi: present distribution and possible effects on fish food. Journal of Applied Ichthyology 26: 81-88."
22,"Kelly, D. W., et al. (2006). Invasion by the amphipod Gammarus pulex alters community composition of native freshwater macroinvertebrates. Diversity and Distributions 12(5): 525-534."
23,"Kelly, D. W., et al. (2003). Differences in composition of macroinvertebrate communities with invasive and native Gammarus spp. (Crustacea : Amphipoda). Freshwater Biology 48(2): 306-315."
24,"Barbiero, R. P. and D. C. Rockwell (2008). Changes in the crustacean communities of the central basin of Lake Erie during the first full year of the Bythotrephes longimanus invasion.  Journal of Great Lakes Research 34(1): 109-121."
25,"Barbiero, R. P. and M. L. Tuchman (2004). Changes in the crustacean communities of Lakes Michigan, Huron, and Erie following the invasion of the predatory cladoceran Bythotrephes longimanus. Canadian Journal of Fisheries and Aquatic Sciences 61(11): 2111-2125."
26,"Boudreau, S. A. and N. D. Yan (2003). The differing crustacean zooplankton communities of Canadian Shield lakes with and without the nonindigenous zooplanktivore Bythotrephes longimanus. Canadian Journal of Fisheries and Aquatic Sciences 60(11): 1307-1313."
27,"Hovius, J. T., et al. (2007). Indirect food web effects of Bythotrephes invasion: responses by the rotifer Conochilus in Harp Lake, Canada. Biological Invasions 9(3): 233-243."
28,"Pangle, K. L. and S. D. Peacor (2009). Light-dependent predation by the invertebrate planktivore Bythotrephes longimanus. Canadian Journal of Fisheries and Aquatic Sciences 66(10): 1748-1757."
29,"Schulz, K. L. and P. M. Yurista (1998). Implications of an invertebrate predator's (Bythotrephes cederstroemi) atypical effects on a pelagic zooplankton community. Hydrobiologia 380: 179-193."
30,"Strecker, A. L. and S. E. Arnott (2005). Impact of Bythotrephes invasion on zooplankton communities in acid-damaged and recovered lakes on the Boreal Shield. Canadian Journal of Fisheries and Aquatic Sciences 62(11): 2450-2462."
31,"Strecker, A. L. and S. E. Arnott (2008). Invasive predator, Bythotrephes, has varied effects on ecosystem function in freshwater lakes. Ecosystems 11(3): 490-503."
