model,species,volume ,predator.size,ratio,time
FR.rogers.1.1,Tortanus dextrilobatus,1,1.6075,0.186251944,1
FR.rogers.1.2,Tortanus dextrilobatus,1,1.6075,0.469051322,1
FR.rogers.2.1,Hemimysis anomala,0.15,10,0.15,0.5
FR.rogers.2.2,Hemimysis anomala,0.15,10,0.12,0.5
FR.rogers.2.3,Hemimysis anomala,0.15,10,0.03,0.5
FR.rogers.2.4,Hemimysis anomala,0.15,10,0.08,0.5
FR.rogers.2.5,Hemimysis anomala,0.15,10,0.08,0.5
FR.rogers.2.6,Hemimysis anomala,0.15,10,0.1,0.5
FR.rogers.2.7,Mysis diluviana,0.15,10,0.08,0.5
FR.rogers.2.8,Mysis diluviana,0.15,10,0.1,0.5
FR.rogers.3.1,Dikerogammarus villosus,0.25,19.4,0.164948454,0.67
FR.rogers.3.2,Dikerogammarus villosus,0.25,14.2,0.225352113,0.67
FR.rogers.3.3,Dikerogammarus villosus,0.25,19.4,0.170103093,0.67
FR.rogers.3.4,Dikerogammarus villosus,0.25,14.2,0.232394366,0.67
FR.rogers.4.1,Dikerogammarus villosus,0.1,12.7,0.552966269,1
FR.rogers.4.2,Dikerogammarus villosus,0.1,12.9,0.232810802,1
FR.rogers.4.3,Dikerogammarus villosus,0.1,12.7,0.236220472,1
FR.5.1.Type1,Leptodora kindtii,1,5.7,0.141608392,1
FR.5.10.Type1,Leptodora kindtii,1,8.8,0.0260181,1
FR.5.2.Type1,Leptodora kindtii,1,5.3,0.107142857,1
FR.5.3.Type1,Leptodora kindtii,1,5.1,0.090909091,1
FR.5.4.Type1,Leptodora kindtii,1,5.7,0.0670194,1
FR.5.5.Type1,Leptodora kindtii,1,5.6,0.039145907,1
FR.5.6.Type1,Leptodora kindtii,1,7.9,0.104930468,1
FR.5.7.Type1,Leptodora kindtii,1,9.1,0.062363239,1
FR.5.8.Type1,Leptodora kindtii,1,9.3,0.047567568,1
FR.5.9.Type1,Leptodora kindtii,1,9.1,0.038293217,1
FR.rogers.6.1,Cercopagis pengoi,1,1.7,0.204678363,1
FR.6.2.Type1,Cercopagis pengoi,1,2,0.154228856,1
FR.rogers.6.3,Cercopagis pengoi,1,2.1,0.388358779,1
FR.rogers.7.1,Pacifastacus leniusculus,2,32.5,0.307692308,1
FR.rogers.8.1,Bythotrephes longimanus,0.2,10.21,0.124227136,0.5
FR.rogers.8.2,Bythotrephes longimanus,0.2,10.21,0.095769138,0.5
FR.rogers.8.3,Bythotrephes longimanus,0.2,10.21,0.097966861,0.5
FR.rogers.9.1,Mysis diluviana,0.17,16.6,0.058889558,0.5
FR.rogers.9.2,Hemimysis anomala,0.17,7,0.139652381,0.5
