study,trophic.level ,species,order,field.lab.group,prey,mean,mean.N,mean.SD,control,control.N,control.SD
9,omnivore,O. rusticus,Decapoda,field,inverts,1.4,3,1.4,0.5,3,1.1
13,omnivore,O. rusticus,Decapoda,field,inverts,11.8,5,6.1,28.4,5,12.2
16,omnivore,P. leniusculus ,Decapoda,field,inverts,10.9,6,8.1,18.1,9,18.4
23,omnivore,P. leniusculus ,Decapoda,field,inverts,203.2,8,142.8,441.1,8,237.8
23,omnivore,P. leniusculus ,Decapoda,field,oligochaeta,23.58,8,27.66,23.65,8,17.07
24,omnivore,P. leniusculus ,Decapoda,field,ephemeroptera,1.58,8,3.48,25.93,8,26.21
24,omnivore,P. leniusculus ,Decapoda,field,tricoptera,1.33,8,2.77,12.68,8,15.97
34,omnivore,P. clarkii,Decapoda,field,inverts,200,4,76.5,120.6,4,58.8
35,omnivore,P. clarkii,Decapoda,field,inverts,89.8,4,14.2,229.1,4,85
36,omnivore,P. leniusculus ,Decapoda,lab,inverts,85.8,40,113.8,221.5,40,210.3
39,omnivore,O. rusticus,Decapoda,field,invert except snails,7169.8,4,4150.8,8050.2,4,628.9
47,omnivore,O. rusticus,Decapoda,field,ephemeroptera,-0.65,4,0.58,0.11,2,0.85
47,omnivore,O. rusticus,Decapoda,field,tricoptera,-0.87,4,0.37,0.33,2,0.62
47,omnivore,O. rusticus,Decapoda,field,diptera,-0.13,4,0.77,-0.1,2,0.55
47,omnivore,O. rusticus,Decapoda,field,amphipoda,-0.27,4,0.8,0.37,2,0.7
48,omnivore,O. rusticus,Decapoda,field,isopoda,0.62,4,0.01,-0.05,2,0.53
48,omnivore,O. rusticus,Decapoda,field,molusca,-0.63,4,0.55,0.98,2,0.67
56,omnivore,O. rusticus,Decapoda,field,ephemeroptera,116,7,58.16,222,7,53.57
56,omnivore,O. rusticus,Decapoda,field,non-zebra mussel inverts,8933,7,2454.1,7599,7,5618.2
56,omnivore,O. rusticus,Decapoda,field,tricladida,7730,7,660.2,5566,7,1493.88
60,omnivore,O. rusticus,Decapoda,field,littoral benthos,-0.1,2,0.5,0.5,7,0.9
60,omnivore,O. rusticus,Decapoda,field,profundal benthos,0.5,2,0.5,0.01,7,0.4
64,omnivore,P. leniusculus ,Decapoda,field,inverts,1688.9,3,320,1582.3,3,604.4
64,omnivore,P. leniusculus ,Decapoda,field,inverts,1866.7,3,568.9,2595.5,3,586.9
68,omnivore,O. rusticus,Decapoda,field,inverts - dresissena,2.9,5,1,4.4,5,1.3
69,omnivore,O. rusticus,Decapoda,field,oligochaeta,10,5,22.36,71,5,122.98
72,omnivore,P. leniusculus ,Decapoda,field,inverts,26.8,5,11.7,14.1,5,6
