study,trophic.level ,species,prey, mean,mean N,mean.SD,control,control.N,control.SD
1,omnivore,O. rusticus,inverts,1.4,3,1.4,0.5,3,1.1
2,omnivore,O. rusticus,inverts,11.8,5,6.1,28.4,5,12.2
3,omnivore,P. leniusculus ,inverts,10.9,6,8.1,18.1,9,18.4
4,omnivore,P. leniusculus ,inverts,203.2,8,142.8,441.1,8,237.8
4,omnivore,P. leniusculus ,oligochaeta,23.58,8,27.66,23.65,8,17.07
5,omnivore,P. leniusculus ,ephemeroptera,1.58,8,3.48,25.93,8,26.21
5,omnivore,P. leniusculus ,tricoptera,1.33,8,2.77,12.68,8,15.97
6,omnivore,P. clarkii,inverts,200,4,76.5,120.6,4,58.8
7,omnivore,P. clarkii,inverts,89.8,4,14.2,229.1,4,85
8,omnivore,P. leniusculus ,inverts,85.8,40,113.8,221.5,40,210.3
9,omnivore,O. rusticus,invert except snails,7169.8,4,4150.8,8050.2,4,628.9
10,omnivore,O. rusticus,ephemeroptera,-0.65,4,0.58,0.11,2,0.85
10,omnivore,O. rusticus,tricoptera,-0.87,4,0.37,0.33,2,0.62
10,omnivore,O. rusticus,diptera,-0.13,4,0.77,-0.1,2,0.55
10,omnivore,O. rusticus,amphipoda,-0.27,4,0.8,0.37,2,0.7
11,omnivore,O. rusticus,isopoda,0.62,4,0.01,-0.05,2,0.53
11,omnivore,O. rusticus,molusca,-0.63,4,0.55,0.98,2,0.67
12,omnivore,O. rusticus,ephemeroptera,116,7,58.16,222,7,53.57
12,omnivore,O. rusticus,non-zebra mussel inverts,8933,7,2454.1,7599,7,5618.2
12,omnivore,O. rusticus,tricladida,7730,7,660.2,5566,7,1493.88
13,omnivore,O. rusticus,littoral benthos,-0.1,2,0.5,0.5,7,0.9
13,omnivore,O. rusticus,profundal benthos,0.5,2,0.5,0.01,7,0.4
14,omnivore,P. leniusculus ,inverts,1688.9,3,320,1582.3,3,604.4
14,omnivore,P. leniusculus ,inverts,1866.7,3,568.9,2595.5,3,586.9
15,omnivore,O. rusticus,inverts - dresissena,2.9,5,1,4.4,5,1.3
16,omnivore,O. rusticus,oligochaeta,10,5,22.36,71,5,122.98
17,omnivore,P. leniusculus ,inverts,26.8,5,11.7,14.1,5,6
17,omnivore,P. leniusculus ,trichoptera,0.36,5,0.8,1.8,5,0.97
18,omnivore,H. anomala,copepodids,6182,1,0.01,7660,3,3115.29
18,omnivore,H. anomala,adult calanoida,2798,1,0.01,1267,3,674.87
19,omnivore,H. anomala,adult cyclopoida,2403,1,0.01,3300.33,3,619.7
20,omnivore,M. relicta,cladocerans,0.82,12,0.98,2.6,10,1.21
20,omnivore,M. relicta,copepods,6.67,12,3,23.84,10,4.11
21,omnivore,G. fasciatus,invert-large molluscs,3332.5,2,956.7,3087,2,718.4
21,omnivore,G. fasciatus,oligochaeta ,744.5,2,14.85,1223.5,2,122.33
21,omnivore,G. fasciatus,mollusca (small),43.5,2,14.85,193,2,114.55
22,omnivore,G. pulex,inverts,330.3,25,147.9,369.7,25,259.1
23,omnivore,G. pulex,inverts,174.7,25,107.5,446.2,25,121
24,predator,B. longimanus,cladocerans,3892.22,9,4368.71,12721.85,13,12373.14
25,predator,B. longimanus,cladocerans,6123.7,12,4585.2,3873.8,4,989
25,predator,B. longimanus,cladocerans,6123.72,12,4585.17,3873.83,4,989.04
26,predator,B. longimanus,zooplankton,28.5,17,89.5,29.7,13,99
27,predator,B. longimanus,cladocerans (Harp),2189.2,6,1403.2,7127.9,7,4069.3
27,predator,B. longimanus,cladocerans (Red chalk),346.8,6,175.2,247,7,101.4
28,predator,B. longimanus,copepod nauplii,12.29,9,36.86,10.76,9,2.69
29,predator,B. cederstroemi,calanoids,48,28,10,55.2,20,7.5
29,predator,B. cederstroemi,cyclopoids,21.6,28,5.6,19.5,20,2.8
29,predator,B. cederstroemi,nauplii,21.19,28,112.12,29.37,20,12.2
30,predator,B. longimanus,zooplankton,3169.8,3,422.3,3998.8,2,689.7
30,predator,B. longimanus,calanoid copepodid,1.57,3,2.72,1.96,2,0.39
30,predator,B. longimanus,calanoid nauplii,1.52,3,2.63,1.46,2,0.08
30,predator,B. longimanus,cyclopoid copepodid,1.93,3,3.34,1.82,2,0.01
31,predator,B. longimanus,cyclopoid nauplii,3.28,3,5.69,3.03,2,0.01
32,predator,B. longimanus,alanoids,1.1,6,0.5,1.5,6,0.4
32,predator,B. longimanus,yclopoids,1.2,6,0.3,1.3,6,0.3
32,predator,B. longimanus,large cladocerans,0.26,6,0.63,0.71,6,0.2
32,predator,B. longimanus,small cladocerans,0.08,6,0.18,1.28,6,0.37
33,predator,C. pengoi,zooplankton,44.1,10,14,64,4,17.6
33,predator,C. pengoi,cladocerans,27.37,10,86.56,36.5,4,21.9
33,predator,C. pengoi,cyclopoids,8.9,10,2.3,19.3,4,1.5
33,predator,C. pengoi,calanoids,1.98,10,6.27,3.97,4,1.49
34,predator,C. pengoi,copepod nauplii,17.45,10,10.07,17.48,22,9.64
35,predator,T. dextrilobatus ,copepods,53.5,2,1.5,16,2,2.6
35,predator,T. dextrilobatus ,cladocerans,16.5,2,23.3,8.5,2,2.1
36,predator,L. kindti,cyclopoids,5.5,21,5.5,2.4,17,2.2
