paper.id,trophic.level ,species,field.lab,prey,prey.type,mean,mean.N,mean.SD,control,control.N,control.SD
14,omnivore,P. clarkii,in situ,Planorbis corneus,herbivore,0.01,5,0,3.8,5,0.48
14,omnivore,P. clarkii,in situ,Dreissena polymorpha ,herbivore,1.25,5,0.42,2.41,5,0.91
23,omnivore,P. leniusculus ,survey ,bivalvia (sphaeriidae),herbivore,7.03,8,20.31,23.47,8,48.86
23,omnivore,P. leniusculus ,survey ,isopoda (Asellus aquaticus),herbivore,14.91,8,43.08,36.51,8,49.23
24,omnivore,P. leniusculus ,survey ,chironomids,herbivore,127.89,8,149.99,289.68,8,209.12
24,omnivore,P. leniusculus ,survey ,ceratopogonidae,consumer,19.24,8,37.78,5.79,8,7.29
27,omnivore,P. clarkii,in situ,Haitia acuta,herbivore,0.04,4,0.09,0.94,4,0.32
32,omnivore,O. rusticus,outdoor mesocosm,Physa gyrina,herbivore,-70.77,6,173.34,112.3,6,103.63
32,omnivore,O. rusticus,outdoor mesocosm,Lymnaea stagnalis,herbivore,-90,6,220.45,-4.62,6,9.42
32,omnivore,O. rusticus,outdoor mesocosm,Helisoma trivolvis,herbivore,-58.46,6,143.2,-54.61,6,24.49
34,omnivore,P. clarkii,in situ,filter feeders ,herbivore,19.62,4,39.25,4.51,4,6.32
34,omnivore,P. clarkii,in situ,chironomids,herbivore,116.67,4,233.33,74.07,4,55.56
34,omnivore,P. clarkii,in situ,predatory inverts,consumer,2.39,4,4.78,4.63,4,4.78
35,omnivore,P. clarkii,in situ,herbivore/detritivore,herbivore,56.2,4,112.39,168.58,4,69.76
35,omnivore,P. clarkii,in situ,predatory inverts,consumer,2.71,4,5.41,21.65,4,16.25
36,omnivore,P. leniusculus ,laboratory mesocosm,Gammarus fossarum,herbivore,24.29,40,153.6,20.36,40,24.85
36,omnivore,P. leniusculus ,laboratory mesocosm,limnephilidae (trichoptera),herbivore,2.11,40,13.36,3.38,40,4.28
36,omnivore,P. leniusculus ,laboratory mesocosm,sericostomatidae (trichoptera),herbivore,1.74,40,11,2.91,40,4.95
37,omnivore,P. leniusculus ,laboratory mesocosm,chironomidae (diptera),herbivore,9.93,40,62.8,14.18,40,19.74
37,omnivore,P. leniusculus ,laboratory mesocosm,Leptophlebiidae (ephemeroptera),herbivore,2.49,40,15.72,4.03,40,4.88
39,omnivore,O. rusticus,in situ,snails,herbivore,308.46,4,616.92,79.6,4,1810.97
51,omnivore,P. leniusculus ,in situ,predatory inverts,consumer,30.02,5,67.12,71.01,5,38.01
51,omnivore,P. leniusculus ,in situ,snails,herbivore,8.22,5,18.38,223.29,5,153.16
51,omnivore,P. leniusculus ,in situ,insect grazers,herbivore,7.64,5,17.07,12,5,6.5
55,omnivore,O. rusticus,in situ,hydra,consumer,4321.97,8,735.03,10847.62,8,2421.66
56,omnivore,O. rusticus,in situ,diptera (chironomidae),herbivore,503,7,277.55,733,7,324.49
56,omnivore,O. rusticus,in situ,gastropoda,herbivore,169,7,54.59,219,7,57.14
57,omnivore,O. rusticus,in situ,trichoptera (hydropsychidae),herbivore,412,7,82.65,857,7,411.73
58,omnivore,P. leniusculus ,outdoor mesocosm,snails,herbivore,0.77,6,1.89,-0.86,6,0.38
58,omnivore,P. leniusculus ,outdoor mesocosm,chironomids,herbivore,0.62,6,1.52,0.1,6,0.47
60,omnivore,O. rusticus,survey,snails,herbivore,-0.32,2,0.45,1.19,7,1.27
68,omnivore,O. rusticus,in situ,Elimia livescens,herbivore,0.01,5,0,22,5,31.3
68,omnivore,O. rusticus,in situ,Gammarus fasciatus,herbivore,20484,5,45803.62,32641,5,9858.82
68,omnivore,O. rusticus,in situ,chironomidae,herbivore,73,5,163.23,193,5,223.61
68,omnivore,O. rusticus,in situ,heptageniidae,herbivore,15,5,33.54,18,5,29.07
68,omnivore,O. rusticus,in situ,Polycentropus sp.,consumer,30,5,67.08,0.01,5,0
68,omnivore,O. rusticus,in situ,Hydra,consumer,417,5,932.44,555,5,389.08
68,omnivore,O. rusticus,in situ,Dugesia tigrina,consumer,395,5,883.25,715,5,623.86
68,omnivore,O. rusticus,in situ,Alboglossiphonia heteroclita,herbivore,0.01,5,0,95,5,212.43
69,omnivore,O. rusticus,in situ,Ferrissia sp.,herbivore,1110,5,2482.04,820,5,648.46
69,omnivore,O. rusticus,in situ,Physella sp.,herbivore,0.01,5,0,47,5,46.96
69,omnivore,O. rusticus,in situ,Gyraulus parvus,herbivore,0.01,5,0,44,5,51.43
69,omnivore,O. rusticus,in situ,Amnicola limosa,herbivore,40,5,89.44,43,5,82.73
72,omnivore,P. leniusculus ,in situ,Gnorimosphaeroma,herbivore,0.32,5,0.72,6.11,5,3.95
72,omnivore,P. leniusculus ,in situ,predatory inverts,consumer,0.53,5,1.19,1.68,5,0.99
