study,trophic.level ,species,prey,prey.type,mean,mean.N,mean.SD,control,control.N,control.SD
36,omnivore,P. clarkii,Planorbis corneus,herbivore,0.01,5,0.01,3.8,5,0.48
36,omnivore,P. clarkii,Dreissena polymorpha ,herbivore,1.25,5,0.42,2.41,5,0.91
4,omnivore,P. leniusculus ,sphaeriidae,herbivore,7.03,8,20.31,23.47,8,48.86
4,omnivore,P. leniusculus ,Asellus aquaticus,herbivore,14.91,8,43.08,36.51,8,49.23
5,omnivore,P. leniusculus ,chironomids,herbivore,127.89,8,149.99,289.68,8,209.12
5,omnivore,P. leniusculus ,ceratopogonidae,consumer,19.24,8,37.78,5.79,8,7.29
37,omnivore,P. clarkii,Haitia acuta,herbivore,0.04,4,0.09,0.94,4,0.32
38,omnivore,O. rusticus,Physa gyrina,herbivore,-70.77,6,173.34,112.3,6,103.63
38,omnivore,O. rusticus,Lymnaea stagnalis,herbivore,-90,6,220.45,-4.62,6,9.42
38,omnivore,O. rusticus,Helisoma trivolvis,herbivore,-58.46,6,143.2,-54.61,6,24.49
6,omnivore,P. clarkii,filter feeders ,herbivore,19.62,4,39.25,4.51,4,6.32
6,omnivore,P. clarkii,chironomids,herbivore,116.67,4,233.33,74.07,4,55.56
6,omnivore,P. clarkii,predatory inverts,consumer,2.39,4,4.78,4.63,4,4.78
7,omnivore,P. clarkii,herbivore/detritivore,herbivore,56.2,4,112.39,168.58,4,69.76
7,omnivore,P. clarkii,predatory inverts,consumer,2.71,4,5.41,21.65,4,16.25
8,omnivore,P. leniusculus ,Gammarus fossarum,herbivore,24.29,40,153.6,20.36,40,24.85
8,omnivore,P. leniusculus ,limnephilidae,herbivore,2.11,40,13.36,3.38,40,4.28
8,omnivore,P. leniusculus ,sericostomatidae,herbivore,1.74,40,11,2.91,40,4.95
39,omnivore,P. leniusculus ,chironomidae,herbivore,9.93,40,62.8,14.18,40,19.74
39,omnivore,P. leniusculus ,Leptophlebiidae ,herbivore,2.49,40,15.72,4.03,40,4.88
9,omnivore,O. rusticus,snails,herbivore,308.46,4,616.92,79.6,4,1810.97
40,omnivore,P. leniusculus ,predatory inverts,consumer,30.02,5,67.12,71.01,5,38.01
40,omnivore,P. leniusculus ,snails,herbivore,8.22,5,18.38,223.29,5,153.16
40,omnivore,P. leniusculus ,insect grazers,herbivore,7.64,5,17.07,12,5,6.5
41,omnivore,O. rusticus,hydra,consumer,4321.97,8,735.03,10847.62,8,2421.66
12,omnivore,O. rusticus,chironomidae,herbivore,503,7,277.55,733,7,324.49
12,omnivore,O. rusticus,gastropoda,herbivore,169,7,54.59,219,7,57.14
42,omnivore,O. rusticus,hydropsychidae,herbivore,412,7,82.65,857,7,411.73
43,omnivore,P. leniusculus ,snails,herbivore,0.77,6,1.89,-0.86,6,0.38
43,omnivore,P. leniusculus ,chironomids,herbivore,0.62,6,1.52,0.1,6,0.47
13,omnivore,O. rusticus,snails,herbivore,-0.32,2,0.45,1.19,7,1.27
15,omnivore,O. rusticus,Elimia livescens,herbivore,0.01,5,0.01,22,5,31.3
15,omnivore,O. rusticus,Gammarus fasciatus,herbivore,20484,5,45803.62,32641,5,9858.82
15,omnivore,O. rusticus,chironomidae,herbivore,73,5,163.23,193,5,223.61
15,omnivore,O. rusticus,heptageniidae,herbivore,15,5,33.54,18,5,29.07
15,omnivore,O. rusticus,Polycentropus sp.,consumer,30,5,67.08,0.01,5,0.01
15,omnivore,O. rusticus,Hydra,consumer,417,5,932.44,555,5,389.08
15,omnivore,O. rusticus,Dugesia tigrina,consumer,395,5,883.25,715,5,623.86
15,omnivore,O. rusticus,Alboglossiphonia heteroclita,herbivore,0.01,5,0.01,95,5,212.43
16,omnivore,O. rusticus,Ferrissia sp.,herbivore,1110,5,2482.04,820,5,648.46
16,omnivore,O. rusticus,Physella sp.,herbivore,0.01,5,0.01,47,5,46.96
16,omnivore,O. rusticus,Gyraulus parvus,herbivore,0.01,5,0.01,44,5,51.43
16,omnivore,O. rusticus,Amnicola limosa,herbivore,40,5,89.44,43,5,82.73
17,omnivore,P. leniusculus ,Gnorimosphaeroma,herbivore,0.32,5,0.72,6.11,5,3.95
17,omnivore,P. leniusculus ,predatory inverts,consumer,0.53,5,1.19,1.68,5,0.99
17,omnivore,P. leniusculus ,tanytarsini,herbivore,0.12,5,0.26,0.1,5,0.1
18,omnivore,H. anomala,daphnia ,herbivore,3886,1,0.01,10691,3,1416.16
18,omnivore,H. anomala,bosmina,herbivore,13,1,0.01,2478,3,2889.55
44,omnivore,H. anomala,Daphnia pulex,herbivore,7.56,18,4.72,0.01,18,0.01
45,omnivore,M. diluviana,daphnia ,herbivore,0.01,10,0.03,0.91,10,0.9
46,omnivore,M. relicta,Daphnia longiremis,herbivore,0.01,12,0.01,0.54,14,0.39
46,omnivore,M. relicta,Daphnia thorata,herbivore,0.36,12,0.52,0.76,14,0.55
46,omnivore,M. relicta,Bosmina longirostris,herbivore,0.42,12,0.55,1.45,14,0.79
46,omnivore,M. relicta,Diacyclops thomasi,consumer,2.07,12,0.53,12.78,14,7.93
47,omnivore,M. relicta,Leptodiaptomus ashlandi,herbivore,5.3,12,2.58,3.58,14,1.78
48,omnivore,M. relicta,Cyclops scuifer ,consumer,3.5,2,4.95,5,2,0.01
48,omnivore,M. relicta,Arctodiaptomus laticeps,herbivore,20.5,2,2.12,7,2,4.24
48,omnivore,M. relicta,Heterocope saliens,consumer,140.5,2,26.16,123,2,11.31
48,omnivore,M. relicta,Daphnia longispina,herbivore,84,2,7.07,44.5,2,44.55
49,omnivore,M. relicta,Sida crystallina,herbivore,43.5,2,6.36,44.5,2,26.16
49,omnivore,M. relicta,Polyphemus pediculus ,consumer,4.5,2,0.71,5,2,5.66
49,omnivore,M. relicta,Diaptomus ashlandi ,herbivore,10.09,3,8.06,15.97,3,11.72
49,omnivore,M. relicta,Cylops bicuspidatus,herbivore,30.87,3,14.48,40.77,3,12.86
50,omnivore,D. villosus ,Chaoborus sp.,consumer,0.25,10,0.78,0.17,10,0.44
50,omnivore,D. villosus ,Caenis robusta,herbivore,0.2,10,0.64,2.49,10,1.27
50,omnivore,D. villosus ,Asellus aquaticus,herbivore,0.14,10,0.44,3.69,10,0.83
50,omnivore,D. villosus ,Ischnura elegans (small),herbivore,0.8,10,2.54,4.06,10,1.71
50,omnivore,D. villosus ,Neomysis integer,consumer,1.96,10,6.2,1.27,10,1.12
51,omnivore,D. villosus ,Ischnura elegans (large),herbivore,2.39,10,7.56,4.32,10,1.51
51,omnivore,D. villosus ,Sigara sp,herbivore,0.25,10,0.78,1.5,10,1.51
51,omnivore,D. villosus ,Eurycercus lamellatus,herbivore,0.48,10,1.51,0.59,10,0.83
51,omnivore,D. villosus ,Neomysis integer,consumer,1.88,10,5.95,1.76,10,1.71
21,omnivore,G. fasciatus,Chironomidae,herbivore,816.5,2,197.28,1306,2,338
22,omnivore,G. fasciatus,Pallasea quadrispinosa,consumer,4.5,2,0.71,6.5,2,2.12
22,omnivore,G. fasciatus,Gammarus lacustris,herbivore,1.5,2,0.71,23.5,2,12.02
52,omnivore,D. villosus ,Gamarus pulex,herbivore,15.13,5,33.83,87.45,5,4.13
53,omnivore,G. tigrinus,grazers,herbivore,653.36,2,326.52,734.67,2,183.67
53,omnivore,L. benedeni,grazers,herbivore,510.19,2,265.3,734.67,2,183.67
25,predator,B. longimanus,Leptodora kindti,consumer,14.75,17,60.83,33.44,17,68.94
25,predator,B. longimanus,Daphnia pulicaria,herbivore,0.01,17,0.01,1250,17,2198.99
54,predator,B. longimanus,Daphnia mendotae,herbivore,4067.8,17,16771.96,762.71,17,0.01
54,predator,B. longimanus,Eubosmina coregoni,herbivore,38.46,17,158.58,46.15,17,148.01
54,predator,B. longimanus,Bosmina longirostris,herbivore,14017.09,17,57793.96,0.01,17,0.01
54,predator,B. longimanus,Holopedium gibberum ,consumer,17.65,17,72.76,12.61,17,41.58
55,predator,B. longimanus,Diacylops thomasi,consumer,183.63,17,189.42,209.68,22,172.51
55,predator,B. longimanus,Mesocylops edax,consumer,8.32,16,12.69,302.89,21,513.54
55,predator,B. longimanus,Tropocyclops prasinus mexicanus,consumer,5.2,12,5,397.82,19,737.51
