parameter,description 
paper.id,consitent paper number for each study in the meta-analysis
paper.info,citation data exported from EndNote
trophic,binary variable. omnivore: feed on consumer and shared primary resource. predator: fed only on consumer (or consumer level)
accept.reject,did the paper meet the qualities for inclusion 
species,species of the introduced omnivore/predator 
location,ISO3 country code for where study was conducted 
field.lab,in situ: experiments where conducted in invaded habitat. survey: sampled sites w/wo introduced species. mesocosm: outdoor or laboratory 
prey,prey of introduced species used for effect size 
invasive.abundance,abundance of introduced species in situ 
error.type,type of error presented in figures 
